,num_dol,num_eee,num_tfsi,num_ps,num_li,atoms_dol,atoms_eee,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,2,0,1,1,::1O,:3O,,,1L,101,3.0303030303030303
1,2,3,0,1,1,:1O,::3O,,,1L,93,2.7902790279027903
2,3,3,0,1,1,::1O,::3O,,,1L,72,2.16021602160216
3,1,2,0,1,2,1O,3O:3O,,,1L:1L,56,1.6801680168016802
4,2,2,0,1,2,1O:1O,2O:3O,,,1L:1L,55,1.6501650165016502
5,2,2,0,1,1,:1O,:3O,,,1L,52,1.56015601560156
6,3,2,0,1,1,:1O:1O,:3O,,,1L,44,1.32013201320132
7,3,3,0,1,1,::1O,::2O,,,1L,43,1.29012901290129
8,3,2,0,1,1,::1O,:2O,,,1L,42,1.26012601260126
9,4,2,0,1,1,:::1O,:3O,,,1L,41,1.23012301230123
10,2,4,0,1,1,:1O,:::3O,,,1L,38,1.14011401140114
11,2,3,0,1,1,:1O,::2O,,,1L,37,1.11011101110111
12,2,2,0,1,2,:1O,3O:3O,,,1L:1L,34,1.02010201020102
13,2,4,0,1,1,:1O,:::2O,,,1L,31,0.93009300930093
14,1,4,0,1,1,1O,:::3O,,,1L,29,0.8700870087008701
15,4,2,0,1,1,:::1O,:2O,,,1L,29,0.8700870087008701
16,2,3,0,1,1,1O:1O,::3O,,,1L,26,0.7800780078007801
17,1,3,0,1,1,1O,::3O,,,1L,26,0.7800780078007801
18,3,3,0,1,1,:1O:1O,::2O,,,1L,25,0.7500750075007501
19,4,2,0,1,1,::1O:1O,:2O,,,1L,23,0.6900690069006901
20,1,2,1,1,2,1O,2O:3O,1O,,1L:1L,23,0.6900690069006901
21,3,1,1,1,2,1O:1O:1O,3O,1O,,1L:1L,23,0.6900690069006901
22,4,1,0,1,1,::1O:1O,3O,,,1L,22,0.6600660066006601
23,2,2,0,1,2,1O:1O,3O:3O,,,1L:1L,22,0.6600660066006601
24,4,2,0,1,1,::1O:1O,:3O,,,1L,20,0.6000600060006
