,num_dol,num_ems,num_tfsi,num_ps,num_li,atoms_dol,atoms_ems,atoms_tfsi,atoms_ps,atoms_li,count,%
0,6,5,0,1,1,:::1O:1O:1O,::1O:1O:1O1S,,,1L,52,1.56015601560156
1,6,4,0,1,1,:::1O:1O:1O,:1O:1O:1O1S,,,1L,44,1.32013201320132
2,7,5,0,1,1,::::1O:1O:1O,::1O:1O:1O1S,,,1L,43,1.29012901290129
3,7,4,0,1,1,::::1O:1O:1O,:1O:1O:1O1S,,,1L,40,1.2001200120012
4,7,4,0,1,1,::::1O:1O:1O,:1O:1O:1O,,,1L,38,1.14011401140114
5,7,4,0,1,1,:::1O:1O:1O:1O,:1O:1O:1O1S,,,1L,35,1.05010501050105
6,7,5,0,1,1,::::1O:1O:1O,::1O:1O:1O,,,1L,33,0.99009900990099
7,7,5,0,1,1,:::1O:1O:1O:1O,::1O:1O:1O,,,1L,33,0.99009900990099
8,6,4,0,1,1,:::1O:1O:1O,:1O:1O:1O,,,1L,29,0.8700870087008701
9,7,5,0,1,1,:::1O:1O:1O:1O,::1O:1O:1O1S,,,1L,27,0.8100810081008101
10,5,5,0,1,1,::1O:1O:1O,::1O:1O:1O1S,,,1L,25,0.7500750075007501
11,6,5,0,1,1,:::1O:1O:1O,::1O:1O:1O,,,1L,25,0.7500750075007501
12,5,4,0,1,1,::1O:1O:1O,:1O:1O1S:1O1S,,,1L,22,0.6600660066006601
13,7,6,0,1,1,::::1O:1O:1O,:::1O:1O:1O1S,,,1L,21,0.6300630063006301
14,6,4,0,1,1,::1O:1O:1O:1O,:1O:1O:1O,,,1L,21,0.6300630063006301
15,7,6,0,1,1,::::1O:1O:1O,:::1O:1O:1O,,,1L,21,0.6300630063006301
16,5,4,0,1,1,::1O:1O:1O,:1O:1O:1O1S,,,1L,20,0.6000600060006
17,7,4,0,1,1,:::1O:1O:1O:1O,:1O:1O:1O,,,1L,20,0.6000600060006
18,6,4,0,1,1,::1O:1O:1O:1O,:1O:1O:1O1S,,,1L,20,0.6000600060006
19,8,5,0,1,1,:::::1O:1O:1O,::1O:1O:1O,,,1L,19,0.57005700570057
20,8,5,0,1,1,::::1O:1O:1O:1O,::1O:1O:1O,,,1L,19,0.57005700570057
21,6,3,0,1,1,:::1O:1O:1O,1O:1O:1O1S,,,1L,18,0.54005400540054
22,8,6,0,1,1,:::::1O:1O:1O,:::1O:1O:1O,,,1L,18,0.54005400540054
23,6,4,0,1,1,:::1O:1O:1O,:1O:1O1S:1O1S,,,1L,18,0.54005400540054
24,6,3,0,1,0,:::::,::,,,,18,0.54005400540054
25,8,4,0,1,1,::::1O:1O:1O:1O,:1O:1O:1O1S,,,1L,17,0.51005100510051
26,6,6,0,1,1,:::1O:1O:1O,:::1O:1O:1O1S,,,1L,17,0.51005100510051
27,6,5,0,1,1,:::1O:1O:2O,::1O:1O:2O1S,,,1L,16,0.48004800480048
28,8,4,0,1,1,:::::1O:1O:1O,:1O:1O:1O,,,1L,16,0.48004800480048
29,6,4,0,1,0,:::::,:::,,,,14,0.42004200420042
30,8,5,0,1,1,::::1O:1O:1O:1O,::1O:1O:1O1S,,,1L,13,0.39003900390039
31,7,3,0,1,0,::::::,::,,,,13,0.39003900390039
32,8,5,0,1,1,:::::1O:1O:1O,::1O:1O:1O1S,,,1L,13,0.39003900390039
33,7,3,0,1,1,::::1O:1O:1O,1O:1O:1O1S,,,1L,13,0.39003900390039
34,7,4,0,1,0,::::::,:::,,,,13,0.39003900390039
35,6,4,1,1,1,:::1O:1O:1O,:1O:1O:1O1S,,,1L,13,0.39003900390039
36,7,4,0,1,1,::::1O:1O:1O,::1O:1O,,,1L,12,0.36003600360036
37,6,5,0,1,1,::1O:1O:1O:1O,::1O:1O:1O1S,,,1L,12,0.36003600360036
38,6,5,0,1,1,:::1O:1O:2O,::1O:1O1S:2O1S,,,1L,12,0.36003600360036
39,6,4,0,1,0,:::::1O,:::,,,,12,0.36003600360036
40,8,4,0,1,1,:::::1O:1O:1O,:1O:1O:1O1S,,,1L,12,0.36003600360036
41,6,3,0,1,1,::1O:1O:1O:1O,1O:1O:1O1S,,,1L,12,0.36003600360036
42,7,6,0,1,1,::::1O:1O:2O,:::1O:1O:2O1S,,,1L,12,0.36003600360036
43,6,4,0,1,1,::1O:1O:1O:1O,:1O:1O1S:1O1S,,,1L,12,0.36003600360036
44,8,6,0,1,1,:::::1O:1O:1O,:::1O:1O:1O1S,,,1L,11,0.33003300330033
45,7,4,0,1,0,::::::1O,:::,,,,11,0.33003300330033
46,7,5,0,1,1,::::1O:1O:1O,::1O:1O1S:1O1S,,,1L,11,0.33003300330033
47,6,5,1,1,1,:::1O:1O:1O,::1O:1O:1O1S,,,1L,11,0.33003300330033
48,8,7,0,1,1,:::::1O:1O:1O,::::1O:1O:1O1S,,,1L,11,0.33003300330033
49,5,4,0,1,1,::1O:1O:1O,:1O:1O:1O,,,1L,11,0.33003300330033
50,6,5,0,1,1,:::1O:1O:1O,::1O:1O1S:1O1S,,,1L,11,0.33003300330033
51,6,5,0,1,1,::1O:1O:1O:1O,:1O:1O:1O1S:1O1S,,,1L,10,0.3000300030003
52,4,4,0,1,1,:1O:1O:1O,:1O:1O1S:1O1S,,,1L,10,0.3000300030003
53,6,2,0,1,0,:::::1O,:,,,,10,0.3000300030003
54,7,5,0,1,1,::::1O:1O:2O,::1O:1O:2O1S,,,1L,10,0.3000300030003
55,6,4,0,1,1,:::1O:1O:2O,:1O:1O1S:2O1S,,,1L,9,0.27002700270027
56,5,3,0,1,1,::1O:1O:1O,1O:1O1S:1O1S,,,1L,9,0.27002700270027
