,num_dol,num_degdbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_degdbe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,1,1,1,2,1O:1O:1O,3O,1O,,1L:1L,71,2.13021302130213
1,2,2,0,1,1,:1O,:3O,,,1L,62,1.86018601860186
2,2,2,0,1,1,:,:3O,,,1L,57,1.7101710171017102
3,3,2,0,1,1,::1O,:2O,,,1L,52,1.56015601560156
4,5,1,0,1,1,::1O:1O:1O,,,,1L,50,1.5001500150015
5,2,2,0,1,2,1O:1O,2O:3O,,,1L:1L,45,1.35013501350135
6,2,3,0,1,1,:1O,::2O,,,1L,44,1.32013201320132
7,2,2,0,1,1,:1O,:2O,,,1L,44,1.32013201320132
8,4,2,0,1,1,:1O:1O:1O,:,,,1L,39,1.17011701170117
9,4,1,1,1,1,::1O:1O,,1O,,1L,38,1.14011401140114
10,3,2,1,1,1,:1O:1O,:,1O,,1L,36,1.08010801080108
11,3,2,0,1,1,::1O,:3O,,,1L,35,1.05010501050105
12,1,2,0,1,2,1O,2O:3O,,,1L:1L,34,1.02010201020102
13,3,1,1,1,2,1O:1O:1O,2O,1O,,1L:1L,33,0.99009900990099
14,1,3,0,1,1,,::3O,,,1L,32,0.96009600960096
15,4,1,0,1,1,:1O:1O:1O,,,,1L,27,0.8100810081008101
16,3,1,0,2,2,1O:1O:1O,3O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,25,0.7500750075007501
17,5,1,1,1,1,:::1O:1O,,1O,,1L,23,0.6900690069006901
18,4,1,0,1,2,1O:1O:1O:1O,3O,,,1L:1L,22,0.6600660066006601
19,6,0,0,1,1,:::1O:1O:1O,,,,1L,22,0.6600660066006601
20,3,1,1,1,2,1O:1O:1O,2O,2O,,1L:1L,22,0.6600660066006601
21,6,1,0,1,1,:::1O:1O:1O,,,,1L,21,0.6300630063006301
22,1,2,0,1,1,,:3O,,,1L,21,0.6300630063006301
23,1,2,0,1,2,1O,3O:3O,,,1L:1L,20,0.6000600060006
24,4,1,1,1,1,:1O:1O:1O,,1O,,1L,20,0.6000600060006
