,num_dol,num_des,num_tfsi,num_ps,num_li,atoms_dol,atoms_des,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,2,0,1,1,::1O,:1O,,,1L,68,2.04020402040204
1,3,2,0,1,1,:1O:1O,:1O,,,1L,66,1.98019801980198
2,2,2,0,1,1,:1O,:1O,,,1L,48,1.44014401440144
3,4,2,0,1,1,::1O:1O,:1O,,,1L,47,1.41014101410141
4,3,3,0,1,1,:1O:1O,::1O,,,1L,36,1.08010801080108
5,4,1,0,1,1,::1O:1O,1O,,,1L,34,1.02010201020102
6,2,3,0,1,1,:1O,::1O,,,1L,33,0.99009900990099
7,2,3,0,1,1,:1O,:1O:1O,,,1L,28,0.8400840084008401
8,3,1,0,1,1,:1O:1O,,,,1L,28,0.8400840084008401
9,3,2,0,1,2,:1O:1O,1O:1O,,,1L:1L,28,0.8400840084008401
10,3,1,0,1,1,::1O,1O,,,1L,27,0.8100810081008101
11,3,3,0,1,1,::1O,:1O:1O,,,1L,27,0.8100810081008101
12,3,3,0,1,2,:1O:1O,1O:1O:1O,,,1L:1L,26,0.7800780078007801
13,3,2,0,1,1,:1O:1O,:,,,1L,26,0.7800780078007801
14,2,3,0,1,1,:,:1O:1O,,,1L,25,0.7500750075007501
15,4,1,0,1,1,::1O:1O,,,,1L,24,0.7200720072007201
16,2,3,0,1,1,1O:1O,::1O,,,1L,23,0.6900690069006901
17,4,2,0,1,1,:::1O,:1O,,,1L,23,0.6900690069006901
18,3,3,0,1,1,::1O,::1O,,,1L,23,0.6900690069006901
19,4,1,0,1,1,:::1O,1O,,,1L,22,0.6600660066006601
20,2,3,0,1,2,1O:1O,1O:1O:1O,,,1L:1L,22,0.6600660066006601
21,3,2,0,1,2,1O:1O:1O,1O:1O,,,1L:1L,22,0.6600660066006601
22,3,1,0,1,2,:1O:1O,1O,,,1L:1L,21,0.6300630063006301
23,1,3,0,1,2,1O,1O:1O:1O,,,1L:1L,20,0.6000600060006
24,2,2,0,1,2,1O:1O,1O:1O,,,1L:1L,20,0.6000600060006
