,num_dol,num_nma,num_tfsi,num_ps,num_li,atoms_dol,atoms_nma,atoms_tfsi,atoms_ps,atoms_li,count,%
0,2,4,0,1,1,:1O,:1N:1O:1O,,,1L,49,1.47014701470147
1,3,4,0,1,1,::1O,:1N:1O:1O,,,1L,46,1.38013801380138
2,3,3,0,1,1,::1O,1N:1O:1O,,,1L,37,1.11011101110111
3,2,5,0,1,1,:1O,::1N:1O:1O,,,1L,36,1.08010801080108
4,2,4,0,1,0,:,::1N:1N,,,,35,1.05010501050105
5,4,3,0,1,1,:::1O,:1O:1O,,,1L,28,0.8400840084008401
6,3,3,0,1,0,::,:1N:1N,,,,27,0.8100810081008101
7,3,3,0,1,1,::1O,:1O:1O,,,1L,27,0.8100810081008101
8,3,4,0,1,1,::1O,::1O:1O,,,1L,26,0.7800780078007801
9,3,4,0,1,2,:1O:1O,1O:1O:1O:1O,,,1L:1L,25,0.7500750075007501
10,3,4,0,1,0,::,::1N:1N,,,,24,0.7200720072007201
11,4,4,0,1,1,:::1O,::1O:1O,,,1L,24,0.7200720072007201
12,3,4,0,1,1,:1O:1O,:1N:1O:1O,,,1L,23,0.6900690069006901
13,3,4,0,1,0,::,:::1N,,,,21,0.6300630063006301
14,4,3,0,1,1,::1O:1O,1N:1O:1O,,,1L,21,0.6300630063006301
15,3,4,0,1,0,::1O,::1N:1N,,,,20,0.6000600060006
16,3,3,0,1,0,::1O,:1N:1N,,,,19,0.57005700570057
17,2,5,0,1,1,:1O,:::1O:1O,,,1L,18,0.54005400540054
18,2,4,0,1,0,:1O,::1N:1N,,,,18,0.54005400540054
19,2,4,0,1,0,:,:1N:1N:1N,,,,18,0.54005400540054
20,3,5,0,1,1,::1O,::1N:1O:1O,,,1L,18,0.54005400540054
21,4,3,0,1,1,::1O:1O,:1O:1O,,,1L,18,0.54005400540054
22,4,3,0,1,0,:::,:1N:1N,,,,18,0.54005400540054
23,2,4,0,1,1,:1O,1N:1N:1O:1O,,,1L,17,0.51005100510051
24,2,5,0,1,1,:,:1N:1O:1O:1O,,,1L,17,0.51005100510051
25,4,3,0,1,1,:::1O,1N:1O:1O,,,1L,17,0.51005100510051
26,1,5,0,1,1,1O,::1N:1O:1O,,,1L,15,0.45004500450045
27,5,3,0,1,1,::::1O,:1O:1O,,,1L,15,0.45004500450045
28,2,5,0,1,0,:,::::1N,,,,14,0.42004200420042
29,4,4,0,1,0,:::,:::1N,,,,14,0.42004200420042
30,3,3,0,1,0,::,::1N,,,,14,0.42004200420042
