,num_dol,num_dmso,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmso,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,4,0,1,0,::1O,:::,,,,31,0.93009300930093
1,4,4,0,1,0,:::1O,:::,,,,24,0.7200720072007201
2,3,4,0,1,0,::,:::1S,,,,24,0.7200720072007201
3,4,4,0,1,0,:::1O,:::1S,,,,23,0.6900690069006901
4,3,5,0,1,0,::1O,::::1S,,,,21,0.6300630063006301
5,4,3,0,1,0,:::1O,::,,,,21,0.6300630063006301
6,4,3,0,1,0,:::1O,::1S,,,,20,0.6000600060006
7,3,5,0,1,0,::1O,::::,,,,18,0.54005400540054
8,4,4,0,1,0,:::,:::1S,,,,18,0.54005400540054
9,2,5,0,1,0,:1O,::::1S,,,,18,0.54005400540054
10,3,4,0,1,0,::,:::,,,,17,0.51005100510051
11,5,4,0,1,0,::::1O,:::,,,,16,0.48004800480048
12,2,5,0,1,0,:,::::1S,,,,16,0.48004800480048
13,4,4,0,1,0,:::,:::,,,,15,0.45004500450045
14,3,4,0,1,0,::1O,:::1S,,,,14,0.42004200420042
15,5,3,0,1,0,:::1O:1O,::,,,,14,0.42004200420042
16,1,6,0,1,0,,:::::1S,,,,14,0.42004200420042
17,4,3,0,1,0,::1O:1O,::1S,,,,14,0.42004200420042
18,2,4,0,1,0,:,:::1S,,,,13,0.39003900390039
19,3,4,0,1,1,::1O,::1O:1O1S,,,1L,13,0.39003900390039
20,3,5,0,1,0,::1O,:::1S:1S,,,,12,0.36003600360036
21,2,6,0,1,0,:,:::::,,,,12,0.36003600360036
22,4,5,0,1,0,:::1O,::::1S,,,,11,0.33003300330033
23,4,3,0,1,0,::1O:1O,::,,,,11,0.33003300330033
24,4,5,0,1,0,:::1O,::::,,,,11,0.33003300330033
25,3,5,0,1,0,::,::::1S,,,,11,0.33003300330033
26,2,5,0,1,0,:,::::,,,,11,0.33003300330033
27,3,3,0,1,0,::1O,::1S,,,,11,0.33003300330033
28,2,5,0,1,0,:1O,:::1S:1S,,,,10,0.3000300030003
29,2,6,0,1,0,:,:::::1S,,,,10,0.3000300030003
30,2,5,0,1,0,:,:::1S:1S,,,,10,0.3000300030003
31,3,4,0,1,0,::,::1S:1S,,,,10,0.3000300030003
32,2,6,0,1,0,:1O,:::::1S,,,,10,0.3000300030003
33,3,5,0,1,0,::,::::,,,,10,0.3000300030003
34,4,4,0,1,0,::1O:1O,:::,,,,10,0.3000300030003
35,2,4,0,1,0,:1O,:::,,,,10,0.3000300030003
36,2,4,0,1,0,:1O,:::1S,,,,10,0.3000300030003
37,4,4,0,1,0,::1O:1O,:::1S,,,,10,0.3000300030003
38,5,2,0,1,0,::::1O,:,,,,10,0.3000300030003
39,2,5,0,1,0,:1O,::::,,,,10,0.3000300030003
40,3,5,0,1,0,:1O:1O,::::1S,,,,9,0.27002700270027
41,3,4,1,1,0,::,:::,,,,9,0.27002700270027
42,3,3,0,1,0,::,::1S,,,,9,0.27002700270027
43,4,4,0,1,1,::1O:1O,::1O:1O1S,,,1L,9,0.27002700270027
44,3,3,0,1,0,::,::,,,,9,0.27002700270027
45,5,3,0,1,0,::::1O,::,,,,9,0.27002700270027
46,2,5,0,1,1,:1O,::1O:1O1S:1S,,,1L,9,0.27002700270027
47,1,6,0,1,1,,::1O:1O1S:1O1S:1S,,,1L,8,0.24002400240024
48,3,3,0,1,0,::1O,::,,,,8,0.24002400240024
49,3,4,0,1,0,:1O:1O,:::,,,,8,0.24002400240024
50,4,3,0,1,0,:::,::,,,,8,0.24002400240024
51,4,5,0,1,0,:::,::::1S,,,,8,0.24002400240024
52,4,5,0,1,0,:::,::::,,,,8,0.24002400240024
53,5,2,0,1,0,:::1O:1O,:1S,,,,8,0.24002400240024
54,3,6,0,1,0,::,:::::1S,,,,7,0.21002100210021
55,2,5,0,1,1,:,::1O1S:1O1S:1O1S,,,1L,7,0.21002100210021
56,1,7,0,1,1,,::::1O:1O1S:1O1S,,,1L,7,0.21002100210021
57,6,3,0,1,0,:::::1O,::1S,,,,7,0.21002100210021
58,3,4,0,1,1,:1O:1O,::1O:1O1S,,,1L,7,0.21002100210021
59,2,5,0,1,1,:1O,:::1O:1O1S,,,1L,7,0.21002100210021
60,6,3,0,1,0,::::1O:1O,::,,,,7,0.21002100210021
61,4,4,0,1,1,:::1O,::1O:1O1S,,,1L,7,0.21002100210021
62,2,4,0,1,0,:,:::,,,,7,0.21002100210021
63,5,2,0,1,0,:::1O:1O,:,,,,7,0.21002100210021
64,3,4,0,1,1,:1O:1O,::1O1S:1O1S,,,1L,7,0.21002100210021
65,3,5,0,1,0,:1O:1O,::::,,,,7,0.21002100210021
66,2,6,0,1,0,:1O,::::1S:1S,,,,7,0.21002100210021
67,2,6,0,1,1,:,:::1O:1O1S:1O1S,,,1L,7,0.21002100210021
68,4,3,0,1,1,:::1O,:1O:1O1S,,,1L,7,0.21002100210021
69,5,3,0,1,0,:::1O:1O,::1S,,,,7,0.21002100210021
70,4,3,0,1,0,:::,::1S,,,,7,0.21002100210021
